source_variable,label,description,valueType,measureOf,isAbout,unitCode,minValue,maxValue
cjv,cjv,coefficient of joint variation (CJV): The cjv of GM and WM was proposed as objective function by [Ganzetti2016] for the optimization of INU correction algorithms. Higher values are related to the presence of heavy head motion and large INU artifacts. Lower values are better,http://uri.interlex.org/ilx_0794754,http://uri.interlex.org/base/ilx_0381787,,,0,100
cnr,cnr," contrast-to-noise ratio (CNR): The cnr [Magnota2006], is an extension of the SNR calculation to evaluate how separated the tissue distributions of GM and WM are. Higher values indicate better quality",http://uri.interlex.org/ilx_0794754,http://uri.interlex.org/base/ilx_0796490,,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio,0,100
efc,efc,The EFC [Atkinson1997] uses the Shannon entropy of voxel intensities as an indication of ghosting and blurring induced by head motion. Lower values are better,http://uri.interlex.org/ilx_0794754,http://uri.interlex.org/base/ilx_0395782,,,0,
fber,fber,"The FBER [Shehzad2015], defined as the mean energy of image values within the head relative to outside the head [QAP-measures]. Higher values are better.",http://uri.interlex.org/ilx_0794754,,,,,
fwhm_avg,fwhm_avg,"The FWHM of the spatial distribution of the image intensity values in units of voxels [Forman1995]. Lower values are better, higher values indicate a blurrier image. Average of the x, y and z dimensions",http://uri.interlex.org/ilx_0794754,,,http://uri.interlex.org/base/ilx_0112568,,
fwhm_x,fwhm_x,"The FWHM of the spatial distribution of the image intensity values in units of voxels [Forman1995]. Lower values are better, higher values indicate a blurrier image. Measured in the x dimension",http://uri.interlex.org/ilx_0794754,,,http://uri.interlex.org/base/ilx_0112568,,
fwhm_y,fwhm_y,"The FWHM of the spatial distribution of the image intensity values in units of voxels [Forman1995]. Lower values are better, higher values indicate a blurrier image.Measured in the y dimension",http://uri.interlex.org/ilx_0794754,,,http://uri.interlex.org/base/ilx_0112568,,
fwhm_z,fwhm_z,"The FWHM of the spatial distribution of the image intensity values in units of voxels [Forman1995]. Lower values are better, higher values indicate a blurrier image. Measured in the z dimension",http://uri.interlex.org/ilx_0794754,,,http://uri.interlex.org/base/ilx_0112568,,
icvs_csf,icvs_csf,the ICV fractions of CSF. It should move within a normative range.,http://uri.interlex.org/ilx_0794754,,http://uri.interlex.org/base/ilx_0101997,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio,,
icvs_gm,icvs_gm,the ICV fractions of GM. It should move within a normative range.,http://uri.interlex.org/ilx_0794754,,http://uri.interlex.org/base/ilx_0726796,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio,,
